Partei: Nr.;Partei: Kurzbezeichnung;Partei: Name;These: Nr.;These: Titel;These: These;Position: Position;Position: Begründung
21;MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller;16;Krankenkassen;Alle Bürgerinnen und Bürger sollen in gesetzlichen Krankenkassen versichert sein müssen.;neutral;Sozialsysteme funktionieren, indem möglichst alle Leistungsberechtigten, mit Ausnahme von Kindern, Jugendlichen und gesundheitlich Eingeschränkten, zu den Systemen beitragen. Das Gesundheitssystem sollte dennoch allen Menschen eine grundlegende medizinische Grundversorgung zur Verfügung stellen.
22;PdF;Partei des Fortschritts;16;Krankenkassen;Alle Bürgerinnen und Bürger sollen in gesetzlichen Krankenkassen versichert sein müssen.;stimme zu;Wir setzen uns für eine umfassende gesundheitliche Absicherung ein, die eine Krankenkasse für alle umfasst. Individuell wählbare Zusatzversicherungen bieten Flexibilität und ergänzen das System. Die Anpassung der Beitragsbemessungsgrenze und die Kostenübernahme aller medizinisch sinnvollen und notwendigen Maßnahmen sichern eine hochwertige und faire Gesundheitsversorgung für alle.
23;SGP;Sozialistische Gleichheitspartei, Vierte Internationale;16;Krankenkassen;Alle Bürgerinnen und Bürger sollen in gesetzlichen Krankenkassen versichert sein müssen.;stimme zu;Vor allem müssen Kapitaleinkommen und große Vermögen zur Finanzierung der Krankenkassen herangezogen werden. Zudem müssen die Kürzungen des Bundeshaushalts für Gesundheit von über zwei Drittel in den letzten drei Jahren zurückgenommen und muss massiv in Gesundheit investiert werden. Gesundheitliche Versorgung ist ein Grundrecht. Aber um es durchzusetzen, muss die Macht der Banken und Konzerne gebrochen und die Gesellschaft nach sozialistischen Prinzipien organisiert werden.
24;BüSo;Bürgerrechtsbewegung Solidarität;16;Krankenkassen;Alle Bürgerinnen und Bürger sollen in gesetzlichen Krankenkassen versichert sein müssen.;stimme nicht zu;Der Staat trägt die Verantwortung durch günstige Rahmenbedingungen produktive, gut bezahlte Arbeitsplätze zu schaffen und den Niedriglohnsektor abzuschaffen. Dann haben die Krankenkrassen genug Geld für die Leistungserbringung.
25;BÜNDNIS DEUTSCHLAND;BÜNDNIS DEUTSCHLAND;16;Krankenkassen;Alle Bürgerinnen und Bürger sollen in gesetzlichen Krankenkassen versichert sein müssen.;stimme nicht zu;BÜNDNIS DEUTSCHLAND sieht als freiheitliche Partei den Markt und nicht den Staat als Lösung. Daher lehnen wir eine Ausweitung einer staatlichen Versicherungspflicht ab und setzen uns für mehr tatsächlichen Wettbewerb bei den Krankenkassen ein.
26;BSW;Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit;16;Krankenkassen;Alle Bürgerinnen und Bürger sollen in gesetzlichen Krankenkassen versichert sein müssen.;stimme zu;Das BSW will die Zwei-Klassen-Medizin beenden. Zusatzbeiträge sollen abgeschafft und eine Bürgerversicherung eingeführt werden, in die alle Bürger nach ihrem Einkommen einzahlen und gleiche Leistungen auf dem Niveau der höchsten medizinischen Standards erhalten. Krankenhausprivatisierungen und das Vordringen von Finanzinvestoren in den medizinischen Sektor müssen gestoppt und die Krankenhausreform rückgängig gemacht werden. Krankenhausschließungen und das System der Fallpauschalen lehnen wir ab
27;MERA25;MERA25 - Gemeinsam für Europäische Unabhängigkeit;16;Krankenkassen;Alle Bürgerinnen und Bürger sollen in gesetzlichen Krankenkassen versichert sein müssen.;stimme zu;Gesundheitliche Versorgung ist kein Luxusgut, sondern ein Grundrecht für jeden Menschen. Die Qualität der Versorgung darf nicht von Einkommen, Status, Nationalität, Geschlecht oder Ähnlichem abhängig sein. Wir wollen alle gesetzlichen und privaten Krankenversicherungen durch ein einheitliches, staatlich finanziertes Gesundheitssystem ersetzen. So verschwinden die regressiven Sozialbeiträge und -bemessungsgrenzen sowie die ungleiche Behandlung von privat und gesetzlich versicherten Menschen.
28;WerteUnion;WerteUnion;16;Krankenkassen;Alle Bürgerinnen und Bürger sollen in gesetzlichen Krankenkassen versichert sein müssen.;stimme nicht zu;Die gesetzlichen Krankenkassen sind durch eine desaströse Gesundheitspolitik in der Krise. Das Problem löst man nicht, indem weitere Gesellschaftsgruppen verpflichtet werden, Mitglied zu werden. Kassen müssen entlastet werden, indem sie von zusätzlichen Ausgaben befreit werden. Die Zahl gesetzlicher Krankenkassen soll reduziert, Synergieeffekte durch Verschmelzung von Berufsgenossenschaften und Krankenkassen genutzt werden, ohne dass eine Monopolisierung eintritt. Wettbewerb muss bleiben.
1;SPD;Sozialdemokratische Partei Deutschlands;17;Abschaffung der Frauenquote;Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.;stimme nicht zu;Nein, im Gegenteil. Die Quote wirkt. Unser Ziel ist und bleibt die gleichberechtigte Teilhabe von Frauen und Männern in Führungspositionen. Dazu werden wir das Führungspositionen-Gesetz weiterentwickeln mit dem Ziel, bis 2030 Parität in Aufsichtsräten und Vorständen zu erreichen. Als nächsten Schritt streben wir ein Gleichstellungsgesetz für die Privatwirtschaft an.
2;CDU / CSU;Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.;17;Abschaffung der Frauenquote;Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.;stimme nicht zu;Solange Frauen in Aufsichtsräten und Vorständen von Unternehmen nach wie vor unterrepräsentiert sind, kann die Frauenquote für Aufsichtsräte und Vorstände von Unternehmen dazu beitragen, gleichberechtigte Teilhabe von Frauen in Führungspositionen zu ermöglichen.
3;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;17;Abschaffung der Frauenquote;Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.;stimme nicht zu;Frauen machen über die Hälfte der Bevölkerung aus, sind aber noch weit von der Hälfte der wirtschaftlichen und politischen Macht entfernt. Wir sind daher weiterhin für Frauenquoten in Aufsichtsräten und Vorständen großer Unternehmen. Die bereits bestehenden Regelungen werden wir weiterentwickeln, damit sie noch besser wirken.
4;FDP;Freie Demokratische Partei;17;Abschaffung der Frauenquote;Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.;neutral;Wir Freie Demokraten setzen uns für mehr Vielfalt in Unternehmen sowie im öffentlichen Dienst und damit auch für mehr Frauen in Führungspositionen ein. Eine Quote verbessert aber nicht die bisherigen Rahmenbedingungen und greift tief in die unternehmerische Freiheit ein. Wir setzen daher auf bessere Vereinbarkeit von Familie und Beruf, mehr Wahlfreiheit bei der Aufteilung von Sorge- und Erwerbsarbeit und auf Anreize für eine Unternehmenskultur, die mehr Vielfalt in Führungspositionen ermöglicht.
5;AfD;Alternative für Deutschland;17;Abschaffung der Frauenquote;Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.;stimme zu;Unternehmen sollten ihre Arbeitnehmer nach dem Prinzip der Bestenauslese wählen und nicht aufgrund von festgelegten Quoten. Durch Frauenquoten wird die Leistung von Frau entwertet, gleichzeitig stellt sie eine erhebliche Form der Geschlechterdiskriminierung dar.
6;Die Linke;Die Linke;17;Abschaffung der Frauenquote;Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.;stimme nicht zu;Die Linke setzt sich dafür ein, dass Frauen überall gleiches Geld für gleichwertige Arbeit bekommen und gleiche Chancen im Beruf haben. Die Quote wirkt: In den Vorständen der größten deutschen Börsenkonzerne sitzen so viele Frauen wie nie zuvor.
7;SSW;Südschleswigscher Wählerverband;17;Abschaffung der Frauenquote;Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.;stimme nicht zu;Wir wollen die Erfüllung ausgewogener Geschlechterquoten und den Anteil von Frauen in Führungspositionen erhöhen. Bestehende Ungleichheiten zwischen Geschlechtern gilt es zu beseitigen. Darum unterstützen wir gezielte Maßnahmen zur Förderung der Gleichstellung und Vielfalt in allen Bereichen der Gesellschaft.
8;FREIE WÄHLER;FREIE WÄHLER;17;Abschaffung der Frauenquote;Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.;stimme zu;Nach wie vor sind Frauen in bestimmten Berufsbereichen der Wissenschaft, Technik, Wirtschaft und Politik unterrepräsentiert. Wir setzen uns für Programme und Qualifizierungsmaßnahmen ein, die diesen Mangel an Frauen in den genannten Bereichen beheben, um Unternehmensführung multiperspektivisch zu gestalten und damit wirtschaftlich erfolgreicher zu agieren.
9;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;17;Abschaffung der Frauenquote;Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.;stimme nicht zu;Wir setzen uns für die gesetzliche Frauenquote in Vorständen und Aufsichtsräten ein, um die Gleichstellung aller Geschlechter zu fördern. Eine Abschaffung würde den Fortschritt bei der Gleichberechtigung im Berufsleben gefährden. Wir fordern weiterhin gleiche Aufstiegschancen und Entlohnung für Frauen und Männer.
10;dieBasis;Basisdemokratische Partei Deutschland;17;Abschaffung der Frauenquote;Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.;stimme zu;"dieBasis ist die Partei mit dem höchsten Frauenanteil (ca. 52 %). Frauenquoten werden innerhalb der Partei aus verschiedenen Gründen egal in welcher Branche überwiegend kritisch gesehen. So wird eine Stigmatisierung als „Quotenfrau"" befürchtet und es wird bezweifelt, ob wirklich überall ein strukturelles Problem vorliegt. Falls ja, wäre das Problem besser zu lösen, indem Maßnahmen zur Förderung der Chancengleichheit und zur Beseitigung der Hindernisse für Frauen im Beruf ergriffen werden."
11;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;17;Abschaffung der Frauenquote;Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.;stimme nicht zu;Nein. Stattdessen sollen börsennotierte Unternehmen abgeschafft werden: Kasinokapitalismus sollte ausschließlich Aufgabe der Glücksspielbranche sein. Außerdem arbeitet die momentane Regierung bereits hart an der Gesundschrumpfung unserer Wirtschaft, das werden wir kompetent fortführen.
12;Die Gerechtigkeitspartei - Team Todenhöfer;Die Gerechtigkeitspartei - Team Todenhöfer;17;Abschaffung der Frauenquote;Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.;stimme zu;Wir von der Gerechtigkeitspartei betrachten freiwillige Maßnahmen und faire Chancen als zielführender für die Gleichstellung. Arbeitgeber benötigen hierbei Unterstützung durch staatlich geschaffene Rahmenbedingungen, um gleiche Chancen für alle zu fördern. Gemeinsam schaffen wir eine gerechte und partnerschaftliche Arbeitswelt.
13;PIRATEN;Piratenpartei Deutschland;17;Abschaffung der Frauenquote;Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.;stimme zu;Gegen Diskriminierungen jeglicher Art sind gezielt Maßnahmen zu ergreifen. Statt einseitig bei Verhalten und Befähigungen der Benachteiligten anzusetzen, müssen diskriminierende Strukturen aufgedeckt, reflektiert und wirksam bekämpft werden. Das Ziel muss sein, das eine Frauenquote nicht notwendig ist!
14;Volt;Volt Deutschland;17;Abschaffung der Frauenquote;Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.;stimme nicht zu;Volt sieht die Quote als ein Mittel, die Gleichstellung zu verbessern.
15;ÖDP;Ökologisch-Demokratische Partei - Die Naturschutzpartei;17;Abschaffung der Frauenquote;Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.;stimme zu;Die ÖDP steht für eine Gleichberechtigung und lebt diese in der Partei auch ohne Quoten. Quoten sind oft nicht praktikabel zu handhaben, sondern es kommt viel mehr auf die gesellschaftliche Einstellung an, die man weiterentwickeln muss. Sowohl Frauen als auch Männer dürfen weder im Hinblick auf gewöhnliche Erwerbsarbeit noch auf Erziehungsleistungen benachteiligt werden. Sie müssen die gleichen Aufstiegschancen haben. Es muss gleicher Lohn für gleiche Arbeit gezahlt werden.
16;Verjüngungsforschung;Partei für Verjüngungsforschung;17;Abschaffung der Frauenquote;Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.;neutral;Unsere Partei hat hierzu keine Position. Das einzige Ziel der Partei für Verjüngungsforschung ist, die Entwicklung von Medizin zu beschleunigen, mit der Menschen durch Verjüngung tausende Jahre gesund leben können. Pro Tag sterben weltweit über 100.000 Menschen am Altern und damit verbundenen Alterskrankheiten. Zukünftige Medizin wird diese Menschenleben wahrscheinlich retten können. Dafür sollen 10% des Bundeshaushaltes pro Jahr zusätzlich in diesen Bereich investiert werden.
17;PdH;Partei der Humanisten - Fakten, Freiheit, Fortschritt;17;Abschaffung der Frauenquote;Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.;stimme zu;Wir setzen uns dafür ein, dass Führungspositionen primär nach Qualifikationen und nicht nach anderen Kriterien besetzt werden. Daher sollen Frauen, die gleiche Qualifikationen wie ihre männlichen Kollegen besitzen, auch gleiche Bezahlung und Aufstiegschancen erhalten. Zudem ist Care-Arbeit von unserer gesamten Gesellschaft zu tragen und darf nicht länger zu einer Benachteiligung von Frauen führen. Gleichberechtigung ist für Humanisten eine Selbstverständlichkeit.
18;Bündnis C;Bündnis C - Christen für Deutschland;17;Abschaffung der Frauenquote;Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.;stimme zu;
19;BP;Bayernpartei;17;Abschaffung der Frauenquote;Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.;stimme zu;
20;MLPD;Marxistisch-Leninistische Partei Deutschlands;17;Abschaffung der Frauenquote;Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.;neutral;Wir sind für die Teilhabe von Frauen in allen gesellschaftlichen Bereichen. Allerdings heben Frauenquoten, auch in kapitalistischen Spitzenpositionen, trotz einer formalen Gleichstellung, nicht die vorherrschende reale Ungleichheit auf. Eine Ausbeutung der unterdrückten Klassen durch paritätisch besetzte Konzernvorstände bedeutet auch keinen Fortschritt.
21;MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller;17;Abschaffung der Frauenquote;Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.;stimme zu;Insbesondere Führungspositionen sollten von den fähigsten Kandidaten besetzt werden. Gleichzeitig setzen sich fähige Frauen auch ohne Quote durch. MENSCHLICHE WELT unterstützt die Gleichberechtigung von Frauen und Männern vollumfänglich. Wirkungsvoll ist hier jedoch vor allem ideelle Arbeit. Eine zwanghafte Quote für börsennotierte Unternehmen halten wir für fehlgeleitet.
22;PdF;Partei des Fortschritts;17;Abschaffung der Frauenquote;Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.;neutral;Die gesetzliche Frauenquote hat zur Förderung von Frauen in Führungspositionen beigetragen. Kritiker bemängeln jedoch, dass dies unternehmerische Freiheit einschränkt und keine langfristige Lösung für strukturelle Ungleichheiten bietet. Stattdessen könnten alternative Maßnahmen wie gezielte Förderprogramme für Networking und Mentoring für Frauen nachhaltig wirken. Die Entscheidung sollte auf Basis von Gleichberechtigung und unternehmerischen Bedürfnissen evaluiert werden.
23;SGP;Sozialistische Gleichheitspartei, Vierte Internationale;17;Abschaffung der Frauenquote;Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.;stimme zu;Eine Quotenregelung ändert an der Benachteiligung und Unterdrückung der Mehrheit der Arbeiterinnen nichts. Auch eine Bundeskanzlerin hat nichts daran geändert, dass Frauen schlechter bezahlt werden und überdurchschnittlich von Arbeitslosigkeit betroffen sind. Nur ein gemeinsamer Kampf aller Arbeiter kann die Gleichstellung der Masse der Frauen erreichen. Wir fordern das Recht auf Abtreibung, eine gesellschaftliche Erziehung und gleichen Lohn für alle.
24;BüSo;Bürgerrechtsbewegung Solidarität;17;Abschaffung der Frauenquote;Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.;stimme zu;Es werden sich in der Regel genügend qualifizierte Frauen finden.
25;BÜNDNIS DEUTSCHLAND;BÜNDNIS DEUTSCHLAND;17;Abschaffung der Frauenquote;Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.;stimme zu;Als freiheitliche Partei lehnt BÜNDNIS DEUTSCHLAND Quotengrundsätzlich ab. Eine Aufgabe soll von der dafür geeignetsten Person wahrgenommen werden, unabhängig von Herkunft oder Geschlecht. Quoten stehen diesem Leistungsgedanken entgegen und führen so erst zu Diskriminierung.
26;BSW;Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit;17;Abschaffung der Frauenquote;Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.;stimme nicht zu;
27;MERA25;MERA25 - Gemeinsam für Europäische Unabhängigkeit;17;Abschaffung der Frauenquote;Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.;stimme nicht zu;Frauen sind nicht in jeder sozialen Beziehung unterlegen, aber die Benachteiligung von Frauen in diversen Bereichen der Gesellschaft wie Wirtschaft, Politik, Arbeit ist anzuerkennen. Ein Instrument zu mehr Gleichstellung in diesen Bereichen ist die Frauenquote. Visionen für ein gendergerechteres Europa implizieren unweigerlich auch neue Bilder der Maskulinität. Reduktionistische Rollenbilder schränken die freie Entfaltung des Menschen ein und stützen Hierarchien und hegemoniale Konstrukte.
28;WerteUnion;WerteUnion;17;Abschaffung der Frauenquote;Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.;stimme zu;"Quotenregelungen lehnen wir ab; das Leistungsprinzip muss Vorrang haben."
1;SPD;Sozialdemokratische Partei Deutschlands;18;Ökologische Landwirtschaft;Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.;stimme zu;Der Ökologische Landbau ist ressourcenschonend und umweltverträglich und bringt qualitativ hochwertige Lebensmittel hervor. Wir unterstützen Deutschlands Ziel, bis 2030 30 % der landwirtschaftlichen Fläche ökologisch zu bewirtschaften. Dafür braucht es gute Rahmenbedingungen entlang der gesamten Wertschöpfungskette. Auch im konventionellen Bereich kann bodenschonend, tierwohlgerecht und klimaangepasst gearbeitet werden. Das wollen wir ebenfalls unterstützen.
2;CDU / CSU;Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.;18;Ökologische Landwirtschaft;Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.;stimme nicht zu;Konventionelle und ökologische Landwirtschaft sind uns gleich wichtig. Nachhaltige Wirtschaftsweisen lassen sich sowohl in ökologischen wie in konventionellen Betrieben erreichen, wenn diese z. B. Natur- und Umweltschutzmaßnahmen durchführen. Deshalb ist unser Ziel, dass die Betriebe bei der Vergabe von Fördermitteln für Nachhaltigkeitsmaßahmen mit vergleichbarer Wirkung auch gleichbehandelt werden.
3;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;18;Ökologische Landwirtschaft;Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.;stimme zu;Eine wichtige Rolle beim Schutz der natürlichen Lebensgrundlagen spielt die ökologische Landwirtschaft. Naturschonende Erzeugungsformen müssen einen Vorteil gegenüber konventioneller Landwirtschaft haben. Auch regionale Produkte sind immer mehr gefragt. Deshalb wollen wir landwirtschaftliche Betriebe mit dem regionalen Lebensmittelhandwerk zusammenbringen, beispielsweise mit der Förderung regionaler Wertschöpfungsketten.
4;FDP;Freie Demokratische Partei;18;Ökologische Landwirtschaft;Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.;stimme nicht zu;Die FDP setzt sich für eine nachhaltige Intensivierung der Landwirtschaft ein, die sowohl ökologische als auch konventionelle Betriebe berücksichtigt. Innovative Konzepte, die nachhaltige Praktiken mit hoher Ertragskraft verbinden, sollten stärker gefördert werden. Im Rahmen der Gemeinsamen Agrarpolitik (GAP) sollten daher Anreize geschaffen werden, um Betriebe bei der Einführung nachhaltiger Intensivierungsmaßnahmen zu unterstützen.
5;AfD;Alternative für Deutschland;18;Ökologische Landwirtschaft;Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.;stimme nicht zu;Es kommt hier nicht auf die Gesamtmenge der Förderungen an, sondern auf die konkrete einzelbetriebliche Maßnahme. Die jeweiligen Förderungen sind hier so auszubalancieren, dass nicht zu viel in einen ökologischen Nischenmarkt investiert wird, der in Zeiten inflationärer Lebensmittelpreise keine Abnehmer findet, und zugleich die flächendeckende Versorgung mit heimischen Lebensmitteln aus konventioneller Produktion sichergestellt werden kann.
6;Die Linke;Die Linke;18;Ökologische Landwirtschaft;Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.;stimme zu;Die Linke kämpft für eine sozial gerechte und auf das Gemeinwohl orientierte Landwirtschaft, die das Klima und die Natur schont und mit dem Tierschutz vereinbar ist. Wir stehen an der Seite der Landwirt*innen. Sie leisten für die Gesellschaft überlebensnotwendige Arbeit. Menschen, die in der Landwirtschaft arbeiten, müssen davon gut leben können. Wer sich zu höheren Standards verpflichtet, soll auch stärker gefördert werden.
7;SSW;Südschleswigscher Wählerverband;18;Ökologische Landwirtschaft;Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.;stimme zu;Wir wollen so schnell wie möglich eine bäuerlich geprägte Landwirtschaft, die ressourcenschonend und nachhaltig arbeitet, Aspekte des Tierwohls, der Biodiversität, des Gewässer- und des Bodenschutzes stärker berücksichtigt und es mit den Herausforderungen des Klimawandels und der Wetterextreme aufnehmen kann.
8;FREIE WÄHLER;FREIE WÄHLER;18;Ökologische Landwirtschaft;Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.;neutral;Wir wollen, dass die bäuerliche und familiengeführte Landwirtschaft eine echte Zukunftsperspektive erhält. Eine Weiterentwicklung der Tierhaltungsbedingungen wird von uns nachdrücklich unterstützt. Allerdings darf dies nicht zu einer weiteren Benachteiligung bäuerlich geführter Betriebe gegenüber großen, gewerblich strukturierten Anlagen führen. Eine Verbesserung der Haltungsbedingungen und der wirtschaftliche Erfolg bäuerlicher Strukturen dürfen sich nicht gegenseitig ausschließen.
9;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;18;Ökologische Landwirtschaft;Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.;stimme zu;Wir setzen uns für die Förderung ökologischer Landwirtschaft ein, da sie Biodiversität schützt, CO₂ bindet, Pestizide reduziert und gesündere Lebensmittel liefert. Durch gezielte Unterstützung und eine Umverteilung der Agrarsubventionen wollen wir Landwirt:innen beim Umstieg auf nachhaltige Methoden helfen.
10;dieBasis;Basisdemokratische Partei Deutschland;18;Ökologische Landwirtschaft;Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.;stimme zu;Ziel der Basis ist die Ernährungssouveränität Deutschlands bei gleichzeitigem Erhalt der Ressourcen Boden und Wasser sowie Schutz der Natur und Kulturlandschaften. dieBasis will die Landwirtschaft im Einvernehmen mit allen bestehenden Betrieben schrittweise in regenerativen und ökologischen Anbau umwandeln. Der Einfluss von Konzernen muss eingedämmt werden. Weitere Maßnahmen sind die Reform der öffentlichen Ausbildung, der Einsatz innovativer Methoden und die Zurückdrängung der EU-Bürokratie.
11;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;18;Ökologische Landwirtschaft;Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.;stimme zu;Ökologische Landwirtschaft ist eine nette Träumerei, geht aber an der Realität vorbei. Ökologische Landwirtschaft ist den Launen der Natur unterworfen und damit mangelhaft, das Überleben der Menschheit lässt sich nur durch die Erschaffung sehr große Früchte sicherstellen (Pestizide, Genmanipulation). Sicher, dadurch können Mensch und Tier zu Schaden kommen, aber wollen Sie lieber alt an Krebs oder jung an Hunger sterben?
12;Die Gerechtigkeitspartei - Team Todenhöfer;Die Gerechtigkeitspartei - Team Todenhöfer;18;Ökologische Landwirtschaft;Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.;stimme zu;Natürlich fördern wir als Gerechtigkeitspartei die ökologische Landwirtschaft als wichtigen Beitrag zum Umwelt-, Klima- und Gesundheitsschutz. Durch nachhaltige Anbaumethoden unterstützen wir nicht nur den Erhalt der natürlichen Ressourcen, sondern tragen auch dazu bei, gesunde Lebensmittel für alle zu sichern und die Klimaziele zu erreichen. Eine ökologische Landwirtschaft ist der Schlüssel zu einer zukunftsfähigen und gerechten Ernährungspolitik.
13;PIRATEN;Piratenpartei Deutschland;18;Ökologische Landwirtschaft;Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.;stimme zu;Für Land- und Forstwirtschaft, Fischerei und Ernährung heißt unser Ziel: Ein Wirtschaften im Gleichgewicht mit dem Naturhaushalt und in möglichst regionalen Kreisläufen.
14;Volt;Volt Deutschland;18;Ökologische Landwirtschaft;Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.;stimme zu;Volts Lösungen für eine nachhaltige Landwirtschaft setzen unter anderem auf eine stärkere Förderung ökologischer Betriebe, da diese durch den Verzicht auf chemisch-synthetische Pestizide und Mineraldünger aktiv zum Klima- und Artenschutz beitragen. Volt investiert in ein zukunftsfähiges Agrarsystem und nachhaltige Landwirtschaft.
15;ÖDP;Ökologisch-Demokratische Partei - Die Naturschutzpartei;18;Ökologische Landwirtschaft;Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.;stimme zu;"Das Ausbauziel 30 Prozent Ökolandbau bis 2030 hat durch das ÖDP-Volksbegehren ,,Artenvielfalt und Naturschönheit in Bayern - Rettet die Bienen"" gesetzlichen Rang erhalten, ein Vorbild für alle Bundesländer. Vor allem eine verbindliche Bioquote von mindestens 30 Prozent Biolebensmittel, möglichst aus der Region, in allen öffentlichen Einrichtungen mit Gemeinschaftsverpflegung (Behörden, Kitas, Schulen, Krankenhäuser) muss kommen. Das wäre eine wirksame Förderung der heimischen Öko-Landwirtschaft."
16;Verjüngungsforschung;Partei für Verjüngungsforschung;18;Ökologische Landwirtschaft;Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.;neutral;Unsere Partei hat hierzu keine Position. Das einzige Ziel der Partei für Verjüngungsforschung ist, die Entwicklung von Medizin zu beschleunigen, mit der Menschen durch Verjüngung tausende Jahre gesund leben können. Pro Tag sterben weltweit über 100.000 Menschen am Altern und damit verbundenen Alterskrankheiten. Zukünftige Medizin wird diese Menschenleben wahrscheinlich retten können. Dafür sollen 10% des Bundeshaushaltes pro Jahr zusätzlich in diesen Bereich investiert werden.
